region,trust,att1,att2,att_o,o4_1,o4_2,o4_o,total_attendances,total_over_4hrs,pct_within_4hrs,month
North West ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,6371,0,2291,1123,0,0,8662,1123,87.0,March 2021
South West ,ROYAL CORNWALL HOSPITALS NHS TRUST,5061,0,6672,1591,0,54,11733,1645,86.0,March 2021
Midlands ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,12172,1045,2034,2367,185,6,15251,2558,83.2,March 2021
Midlands ,WYE VALLEY NHS TRUST,4927,0,0,1051,0,0,4927,1051,78.7,March 2021
London,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9579,0,0,546,0,0,9579,546,94.3,March 2021
South East ,MEDWAY NHS FOUNDATION TRUST,6576,0,2860,1713,0,39,9436,1752,81.4,March 2021
Midlands ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,4868,0,2181,228,0,4,7049,232,96.7,March 2021
North East And Yorkshire ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,12506,0,0,1522,0,0,12506,1522,87.8,March 2021
North East And Yorkshire ,GATESHEAD HEALTH NHS FOUNDATION TRUST,4818,0,1921,654,0,10,6739,664,90.1,March 2021
North East And Yorkshire ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,3757,0,217,98,0,0,3974,98,97.5,March 2021
South East ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,6967,600,1674,0,0,0,9241,0,100.0,March 2021
London,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7457,0,0,415,0,0,7457,415,94.4,March 2021
South East ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,8380,1113,0,949,58,0,9493,1007,89.4,March 2021
South West ,SALISBURY NHS FOUNDATION TRUST,3453,290,775,414,0,0,4518,414,90.8,March 2021
South West ,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,4222,0,0,196,0,0,4222,196,95.4,March 2021
South West ,NORTHERN DEVON HEALTHCARE NHS TRUST,3156,0,0,532,0,0,3156,532,83.1,March 2021
London,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,6860,0,0,472,0,0,6860,472,93.1,March 2021
East Of England ,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,5755,0,5119,1878,0,52,10874,1930,82.3,March 2021
South East ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,8242,0,642,550,0,0,8884,550,93.8,March 2021
Midlands ,THE DUDLEY GROUP NHS FOUNDATION TRUST,7634,0,5779,1523,0,29,13413,1552,88.4,March 2021
North West ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,5254,0,8146,2409,0,0,13400,2409,82.0,March 2021
London,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,9917,289,152,887,0,0,10358,887,91.4,March 2021
Midlands ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,7153,654,1187,1746,1,0,8994,1747,80.6,March 2021
North East And Yorkshire ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11090,1200,4423,1703,5,13,16713,1721,89.7,March 2021
