trust,region,years_reported,years_in_bottom_fifth,avg_pct_within_4hrs,worst_year_pct
THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,Midlands,5,5,56.0,49.0
HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,North East And Yorkshire,5,5,56.8,44.9
EAST CHESHIRE NHS TRUST,North West,5,5,57.9,50.0
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,Midlands,5,5,58.6,50.7
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Midlands,5,5,60.0,55.3
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,South West,5,5,61.8,56.8
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,North West,5,5,62.6,55.8
THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,East Of England,5,4,61.5,46.1
ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,South West,5,4,62.1,52.0
UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,Midlands,4,4,62.8,57.0
WYE VALLEY NHS TRUST,Midlands,5,4,64.1,54.2
STOCKPORT NHS FOUNDATION TRUST,North West,5,4,64.7,58.7
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,North West,5,4,65.0,60.5
